cause,effect,lag_p,chi2,pval,sig_05,sig_10,bonferroni
Monetary,Labour,2,18.028631594274884,0.0001216556801654186,True,True,True
Monetary,Fiscal,2,15.279256980991562,0.00048100711758413474,True,True,True
Trade,Monetary,2,7.116031981579654,0.028495303613145347,True,True,False
Wage,Consumer,3,7.8357199708488,0.049531737549982885,True,True,False
Wage,Labour,2,5.963207363347924,0.050711443607536134,False,True,False
Labour,Trade,2,5.674778317494518,0.05857840540587478,False,True,False
Fiscal,Trade,2,5.20621321662831,0.07404319733559192,False,True,False
Labour,Wage,2,4.477371110036698,0.10659853023406832,False,False,False
Fiscal,Wage,2,4.147517535979822,0.12571236890979215,False,False,False
Wage,Monetary,2,3.572169581133145,0.16761513502494563,False,False,False
Trade,Labour,2,3.0265976437454,0.2201824359676787,False,False,False
Wage,Fiscal,2,2.7354003371802222,0.2546920352497006,False,False,False
Trade,Fiscal,2,2.5231503640148416,0.28320757149715103,False,False,False
Fiscal,Consumer,1,1.0588526314495317,0.303477019025807,False,False,False
Labour,Monetary,2,2.383901034824958,0.3036284535254837,False,False,False
Labour,Fiscal,3,3.4061278800806742,0.3331426476070545,False,False,False
Fiscal,Monetary,2,2.1095322374935055,0.3482738725113492,False,False,False
Consumer,Monetary,2,2.0763189745742454,0.35410581882338,False,False,False
Trade,Consumer,5,5.220837751785961,0.38952777104998404,False,False,False
Consumer,Trade,5,4.961746586577031,0.420566527049796,False,False,False
Trade,Wage,2,1.5496329615389275,0.4607883367609269,False,False,False
Monetary,Consumer,2,1.503262478731482,0.4715966379535038,False,False,False
Monetary,Trade,2,1.0737522678164126,0.5845715262286109,False,False,False
Consumer,Wage,3,1.900786570335608,0.5932519136941701,False,False,False
Labour,Consumer,1,0.24374798222007876,0.6215121334439944,False,False,False
Consumer,Fiscal,1,0.1406221086387563,0.7076633337844471,False,False,False
Fiscal,Labour,3,0.7616250573138553,0.8586220381282268,False,False,False
Consumer,Labour,1,0.013056122492602568,0.9090290022380646,False,False,False
Monetary,Wage,2,0.16039415054550674,0.9229344409060134,False,False,False
Wage,Trade,2,0.06860315766102161,0.966280051083853,False,False,False
