,savings_rate,debt_service,delinquency,mortgage_rate,fragility_score
2005-01-01,2.5,14.799802,1.6,5.768461538461538,0.25373286659009137
2005-04-01,2.2333333333333334,14.828576,1.57,5.708461538461538,0.25375959561492956
2005-07-01,1.8,15.139959,1.56,5.7638461538461545,0.25769155000063537
2005-10-01,2.466666666666667,15.02855,1.54,6.226153846153846,0.26905935400541126
2006-01-01,3.1666666666666665,14.989443,1.51,6.2469230769230775,0.2631889843729028
2006-04-01,2.966666666666667,15.044255,1.51,6.602307692307692,0.27500618850596725
2006-07-01,2.4,15.367228,1.58,6.5600000000000005,0.27923888475366704
2006-10-01,2.566666666666667,15.509711,1.69,6.243846153846154,0.2686932006910377
2007-01-01,2.733333333333333,15.526607,1.74,6.214615384615384,0.26629983250738326
2007-04-01,2.8333333333333335,15.63251,1.87,6.358461538461539,0.26958703750120194
2007-07-01,2.3666666666666667,15.712123,2.14,6.5515384615384615,0.41052847633690714
2007-10-01,2.1666666666666665,15.846367,2.47,6.224615384615385,0.5404518928003885
2008-01-01,2.8333333333333335,15.775857,2.86,5.872307692307692,0.5888170962962536
2008-04-01,4.6000000000000005,15.326612,3.32,6.086923076923076,0.6274089720115461
2008-07-01,3.533333333333333,15.546547,3.72,6.322307692307692,0.7202186487555086
2008-10-01,5.566666666666666,15.72136,4.75,5.841428571428572,0.6954031940316083
2009-01-01,5.7,15.5975,5.64,5.06,0.6143361697085046
2009-04-01,6.8,15.251967,6.37,5.012307692307692,0.5640636771326741
2009-07-01,5.1000000000000005,15.08588,6.94,5.162307692307692,0.6495189157655721
2009-10-01,5.333333333333333,14.896385,7.3,4.922142857142857,0.6055691637581971
2010-01-01,5.3999999999999995,14.51494,7.4,4.995833333333334,0.6151041089364834
2010-04-01,6.2,14.069775,7.21,4.922307692307692,0.5752774653595979
2010-07-01,6.133333333333333,13.917807,6.89,4.4471428571428575,0.48012976747291725
2010-10-01,5.966666666666666,13.580863,6.38,4.436153846153847,0.47373206980718136
2011-01-01,6.6000000000000005,13.30846,6.2,4.846923076923077,0.5276928887131715
2011-04-01,6.366666666666667,13.057706,5.96,4.650769230769231,0.494849586966696
2011-07-01,6.6000000000000005,12.944597,5.7,4.291538461538462,0.3953796913400079
2011-10-01,6.633333333333333,12.749684,5.46,4.002307692307692,0.23701929354691034
2012-01-01,7.433333333333334,12.237059,5.27,3.9223076923076925,0.21348384863538608
2012-04-01,7.900000000000001,12.034065,5.13,3.7946153846153843,0.1997772570743727
2012-07-01,6.966666666666666,12.083107,5.04,3.553846153846154,0.2198933956882641
2012-10-01,9.133333333333333,11.754033,4.65,3.3592307692307695,0.1515205245847501
2013-01-01,4.8,12.006598,4.41,3.496923076923077,0.2367165518958261
2013-04-01,5.266666666666667,11.794391,4.14,3.6723076923076925,0.22037975591115247
2013-07-01,5.233333333333333,11.837713,3.78,4.4399999999999995,0.3854372405930546
2013-10-01,4.566666666666666,11.985283,3.52,4.2930769230769235,0.35027485169343114
2014-01-01,5.233333333333333,11.883755,3.31,4.364615384615385,0.341986960830841
2014-04-01,5.533333333333334,11.621135,3.08,4.227692307692307,0.27829214775603456
2014-07-01,5.433333333333334,11.646939,2.9,4.135384615384615,0.2353577254174385
2014-10-01,5.666666666666667,11.631985,2.7,3.9635714285714285,0.16060371071876206
2015-01-01,6.2,11.556623,2.49,3.716666666666667,0.14112900529612663
2015-04-01,5.8,11.485132,2.39,3.819230769230769,0.1357127116847779
2015-07-01,5.666666666666667,11.606478,2.28,3.9546153846153844,0.12741285187921392
2015-10-01,5.733333333333333,11.738968,2.19,3.8978571428571427,0.1166304649726362
2016-01-01,5.866666666666667,11.763236,2.17,3.7384615384615385,0.11278374752601406
2016-04-01,5.233333333333333,11.766097,2.14,3.589230769230769,0.11136718557873887
2016-07-01,5.1,11.769843,2.07,3.446153846153846,0.09432829982526256
2016-10-01,5.233333333333333,11.865809,2.03,3.8423076923076924,0.07644525055206368
2017-01-01,5.5,11.723754,1.93,4.173076923076923,0.10730621949024423
2017-04-01,6.0,11.756978,1.85,3.98,0.07246166771167613
2017-07-01,6.0,11.818432,1.83,3.883846153846154,0.07286213458476397
2017-10-01,5.533333333333334,11.816692,1.79,3.9223076923076925,0.07488860282448025
2018-01-01,5.8,11.644577,1.72,4.282307692307692,0.11831833758982807
2018-04-01,6.1000000000000005,11.598376,1.65,4.544615384615384,0.13628062966291013
2018-07-01,6.633333333333333,11.619565,1.6,4.566923076923077,0.13295612918026364
2018-10-01,7.2,11.666399,1.52,4.7846153846153845,0.13832637677472087
2019-01-01,8.266666666666667,11.499899,1.53,4.373846153846154,0.10031003258955182
2019-04-01,7.333333333333333,11.626984,1.5,4.010769230769231,0.06469065406309536
2019-07-01,6.8999999999999995,11.646573,1.47,3.6584615384615384,0.0672971070078611
2019-10-01,6.733333333333333,11.727611,1.42,3.7,0.06870001244224529
2020-01-01,8.9,11.591122,1.5,3.5215384615384617,0.05166603560322125
2020-04-01,24.233333333333334,9.739837,1.55,3.2392307692307694,0.019612886301294517
2020-07-01,15.033333333333333,10.058475,1.59,2.9523076923076923,0.021450017465777474
2020-10-01,12.200000000000001,10.389341,1.58,2.7607142857142857,0.022959356519008066
2021-01-01,19.566666666666666,9.051426,1.47,2.875833333333333,0.010070549889304116
2021-04-01,10.4,9.840988,1.37,3.003846153846154,0.020251395189434866
2021-07-01,8.6,10.009574,1.29,2.8721428571428573,0.04335623388831729
2021-10-01,6.733333333333333,10.228773,1.26,3.079230769230769,0.05628324419054635
2022-01-01,3.8333333333333335,10.472376,1.24,3.822307692307692,0.06902434641332643
2022-04-01,2.466666666666667,10.684715,1.22,5.266153846153846,0.17802050584516121
2022-07-01,3.3000000000000003,10.567813,1.2,5.623076923076923,0.18067457677201498
2022-10-01,3.8000000000000003,10.736908,1.19,6.664615384615384,0.2057883397211111
2023-01-01,5.466666666666666,10.564065,1.21,6.372307692307692,0.1800656493205286
2023-04-01,5.8999999999999995,10.576964,1.26,6.510769230769231,0.1784732419880907
2023-07-01,5.466666666666666,10.747803,1.34,7.04,0.19697718822343438
2023-10-01,5.533333333333334,11.096103,1.38,7.303846153846154,0.20968820359568108
2024-01-01,6.133333333333333,11.058844,1.43,6.748461538461539,0.19230140805395557
2024-04-01,5.766666666666667,11.0193,1.49,6.995384615384615,0.200011045929824
2024-07-01,5.1000000000000005,11.138746,1.52,6.508461538461538,0.20133101756370483
2024-10-01,4.733333333333333,11.122474,1.53,6.632307692307692,0.20708503719746182
2025-01-01,5.133333333333333,11.105374,1.55,6.827692307692308,0.2062852881385711
2025-04-01,5.0,11.124175,1.51,6.788461538461538,0.20742029298266573
2025-07-01,4.3999999999999995,11.257951,1.49,6.5661538461538465,0.21221022789546012
2025-10-01,3.966666666666667,11.323096,1.48,6.226428571428571,0.21014947785543794
2026-01-01,4.25,11.323096,1.48,6.109166666666667,0.20484788273867416
2026-04-01,4.25,11.323096,1.48,6.376666666666666,0.21105508663887088
