,debt_to_gdp,interest_burden,fragility_score
1966-01-01,40.33999,19.697645199205613,0.4177730428287719
1966-04-01,39.26763,19.430524802859033,0.4082330286735369
1966-07-01,39.62091,19.644089897982663,0.41586035349938083
1966-10-01,39.51977,19.873532068654022,0.42405471673764367
1967-01-01,39.20383,20.369039966725904,0.441751427383068
1967-04-01,38.03292,20.483479842376475,0.4458385657991598
1967-07-01,38.82145,20.21555383309342,0.4362697797533364
1967-10-01,39.10231,20.22869394318385,0.4367390693994232
1968-01-01,38.42951,19.880231417261566,0.42429397918791306
1968-04-01,36.96379,19.992781204882533,0.4283136144600905
1968-07-01,37.30897,18.893395483988137,0.389049838713862
1968-10-01,36.98532,18.57025713114274,0.3775091832550978
1969-01-01,36.19577,17.94154663683401,0.35505523702978603
1969-04-01,34.97403,18.38085258920201,0.3707447353286432
1969-07-01,35.01946,19.6425041651371,0.4158037201834679
1969-10-01,35.46954,20.91111298814652,0.46111117814809
1970-01-01,35.38879,23.222441582933083,0.5
1970-04-01,34.67329,24.022444327546904,0.5
1970-07-01,34.86717,25.807228915662648,0.5
1970-10-01,35.74822,26.1859410430839,0.5
1971-01-01,34.50345,26.074687800192127,0.5
1971-04-01,34.36089,25.769618601340525,0.5
1971-07-01,35.00694,26.174635559892366,0.5
1971-10-01,35.63237,26.176915029640824,0.5
1972-01-01,34.72622,24.24982739391364,0.5
1972-04-01,33.67383,24.29056702377841,0.5
1972-07-01,33.62447,24.43068987749839,0.5
1972-10-01,33.74758,24.13305551421342,0.5
1973-01-01,33.29287,25.00916220772557,0.5
1973-04-01,32.34466,25.61878214062575,0.5
1973-07-01,32.12455,26.204197794379226,0.5
1973-10-01,31.77379,25.80226978098206,0.5
1974-01-01,31.76449,26.086170669438104,0.5
1974-04-01,30.99462,25.670257266087255,0.5
1974-07-01,30.86269,25.20739609558793,0.5
1974-10-01,30.79768,25.97192791053857,0.5
1975-01-01,31.53604,27.340929848214678,0.5
1975-04-01,32.27817,34.185286537899515,0.5
1975-07-01,32.38043,27.534576566848028,0.5
1975-10-01,32.7301,27.715597069007163,0.5
1976-01-01,32.98513,27.826189066605345,0.5
1976-04-01,33.49464,27.6951681723916,0.5
1976-07-01,33.64333,27.591713202152008,0.5
1976-10-01,33.78753,27.808711699385917,0.5
1977-01-01,33.65136,27.101497387870634,0.5
1977-04-01,32.80422,26.5835236840789,0.5
