cause,effect,lag,f_stat,p_value,sig_10,sig_5
Wage-Prod,Consumer,1,3.522,0.0641,True,False
Wage-Prod,Consumer,2,2.3901,0.0982,True,False
Wage-Prod,Consumer,3,2.9096,0.0399,True,True
Wage-Prod,Consumer,4,2.7406,0.0349,True,True
Wage-Prod,Fiscal,1,4.7289,0.0325,True,True
Wage-Prod,Fiscal,2,2.4373,0.0939,True,False
Wage-Prod,Fiscal,3,1.7657,0.1609,False,False
Wage-Prod,Fiscal,4,1.3301,0.2669,False,False
Wage-Prod,Labour,1,0.5467,0.4618,False,False
Wage-Prod,Labour,2,3.2962,0.0422,True,True
Wage-Prod,Labour,3,2.0392,0.1155,False,False
Wage-Prod,Labour,4,2.3445,0.0626,True,False
Wage-Prod,Trade,1,1.3123,0.2553,False,False
Wage-Prod,Trade,2,0.8893,0.415,False,False
Wage-Prod,Trade,3,0.4331,0.7299,False,False
Wage-Prod,Trade,4,0.6143,0.6537,False,False
Wage-Prod,Monetary,1,0.4105,0.5235,False,False
Wage-Prod,Monetary,2,1.1397,0.3251,False,False
Wage-Prod,Monetary,3,1.3158,0.2755,False,False
Wage-Prod,Monetary,4,0.9117,0.4618,False,False
Consumer,Wage-Prod,1,0.0002,0.9891,False,False
Consumer,Wage-Prod,2,0.4,0.6717,False,False
Consumer,Wage-Prod,3,0.5559,0.6457,False,False
Consumer,Wage-Prod,4,0.5681,0.6866,False,False
Consumer,Fiscal,1,1.5296,0.2197,False,False
Consumer,Fiscal,2,0.8469,0.4326,False,False
Consumer,Fiscal,3,0.5401,0.6562,False,False
Consumer,Fiscal,4,0.366,0.8321,False,False
Consumer,Labour,1,7.734,0.0067,True,True
Consumer,Labour,2,3.376,0.0392,True,True
Consumer,Labour,3,2.4369,0.0711,True,False
Consumer,Labour,4,1.7246,0.1538,False,False
Consumer,Trade,1,0.1073,0.7441,False,False
Consumer,Trade,2,0.2199,0.8031,False,False
Consumer,Trade,3,0.976,0.4086,False,False
Consumer,Trade,4,0.9529,0.4386,False,False
Consumer,Monetary,1,0.0012,0.973,False,False
Consumer,Monetary,2,1.485,0.2328,False,False
Consumer,Monetary,3,0.9955,0.3996,False,False
Consumer,Monetary,4,0.7147,0.5846,False,False
Fiscal,Wage-Prod,1,14.7469,0.0002,True,True
Fiscal,Wage-Prod,2,4.6852,0.0119,True,True
Fiscal,Wage-Prod,3,2.4314,0.0716,True,False
Fiscal,Wage-Prod,4,1.9576,0.11,False,False
Fiscal,Consumer,1,5.1554,0.0258,True,True
Fiscal,Consumer,2,2.6333,0.0781,True,False
Fiscal,Consumer,3,1.9066,0.1356,False,False
Fiscal,Consumer,4,1.3386,0.2638,False,False
Fiscal,Labour,1,1.5872,0.2113,False,False
Fiscal,Labour,2,0.7855,0.4594,False,False
Fiscal,Labour,3,0.6599,0.5793,False,False
Fiscal,Labour,4,0.7017,0.5933,False,False
Fiscal,Trade,1,0.14,0.7093,False,False
Fiscal,Trade,2,2.8736,0.0624,True,False
Fiscal,Trade,3,1.7355,0.1668,False,False
Fiscal,Trade,4,1.3511,0.2594,False,False
Fiscal,Monetary,1,0.0643,0.8004,False,False
Fiscal,Monetary,2,1.4489,0.241,False,False
Fiscal,Monetary,3,1.2043,0.314,False,False
Fiscal,Monetary,4,1.1435,0.3429,False,False
Labour,Wage-Prod,1,1.2003,0.2765,False,False
Labour,Wage-Prod,2,2.9572,0.0577,True,False
Labour,Wage-Prod,3,1.6781,0.1788,False,False
Labour,Wage-Prod,4,1.999,0.1036,False,False
Labour,Consumer,1,7.1478,0.0091,True,True
Labour,Consumer,2,1.9559,0.1482,False,False
Labour,Consumer,3,1.0933,0.3572,False,False
Labour,Consumer,4,1.3104,0.2742,False,False
Labour,Fiscal,1,0.0427,0.8367,False,False
