,BOGZ1FL073164003Q
1945-10-01,924.0
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,816.0
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,815.0
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,814.0
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,893.0
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,1085.0
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,1277.0
1952-01-01,12910.0
1952-04-01,13400.0
1952-07-01,13130.0
1952-10-01,14190.0
1953-01-01,13560.0
1953-04-01,12970.0
1953-07-01,12560.0
1953-10-01,13220.0
1954-01-01,14410.0
1954-04-01,15700.0
1954-07-01,17370.0
1954-10-01,19040.0
1955-01-01,19660.0
1955-04-01,21880.0
1955-07-01,23350.0
1955-10-01,24200.0
1956-01-01,25930.0
1956-04-01,25070.0
1956-07-01,24490.0
1956-10-01,24890.0
1957-01-01,23560.0
1957-04-01,25210.0
1957-07-01,22920.0
1957-10-01,21500.0
1958-01-01,22350.0
1958-04-01,24250.0
1958-07-01,26800.0
1958-10-01,29470.0
1959-01-01,29850.0
1959-04-01,31440.0
1959-07-01,30570.0
1959-10-01,31830.0
1960-01-01,29750.0
1960-04-01,30520.0
1960-07-01,28310.0
1960-10-01,30960.0
1961-01-01,34600.0
1961-04-01,34530.0
1961-07-01,35450.0
1961-10-01,38240.0
1962-01-01,37360.0
1962-04-01,28520.0
1962-07-01,30150.0
1962-10-01,33650.0
1963-01-01,35570.0
1963-04-01,37250.0
1963-07-01,38720.0
1963-10-01,40190.0
1964-01-01,42480.0
1964-04-01,43930.0
1964-07-01,45350.0
1964-10-01,45930.0
1965-01-01,46490.0
1965-04-01,44650.0
1965-07-01,48380.0
1965-10-01,52869.0
1966-01-01,51145.0
1966-04-01,48544.0
1966-07-01,43670.0
1966-10-01,46228.0
1967-01-01,52361.0
1967-04-01,53154.0
1967-07-01,56792.0
1967-10-01,56918.0
1968-01-01,52922.0
1968-04-01,59297.0
1968-07-01,61010.0
1968-10-01,62279.0
1969-01-01,60112.0
1969-04-01,57236.0
1969-07-01,54656.0
1969-10-01,54486.0
1970-01-01,52731.0
1970-04-01,41851.0
1970-07-01,48787.0
1970-10-01,53112.0
1971-01-01,58621.0
1971-04-01,58251.0
1971-07-01,57447.0
1971-10-01,59668.0
1972-01-01,63104.0
1972-04-01,62713.0
1972-07-01,64077.0
1972-10-01,68179.0
1973-01-01,62998.0
1973-04-01,57986.0
1973-07-01,61867.0
1973-10-01,54793.0
1974-01-01,53091.0
1974-04-01,47476.0
1974-07-01,35369.0
1974-10-01,38203.0
1975-01-01,46746.0
1975-04-01,53767.0
1975-07-01,47043.0
1975-10-01,50373.0
1976-01-01,57944.0
1976-04-01,58906.0
1976-07-01,59456.0
1976-10-01,61201.0
1977-01-01,56601.0
1977-04-01,58261.0
1977-07-01,55840.0
1977-10-01,55512.0
1978-01-01,52710.0
1978-04-01,56739.0
1978-07-01,61095.0
1978-10-01,56696.0
1979-01-01,60408.0
1979-04-01,61729.0
1979-07-01,65811.0
1979-10-01,65504.0
1980-01-01,60958.0
1980-04-01,69089.0
1980-07-01,76533.0
1980-10-01,82327.0
1981-01-01,82761.0
1981-04-01,80519.0
1981-07-01,70844.0
1981-10-01,75190.0
1982-01-01,68222.0
1982-04-01,66636.0
1982-07-01,73149.0
1982-10-01,85679.0
1983-01-01,93081.0
1983-04-01,102999.0
1983-07-01,101762.0
1983-10-01,100641.0
1984-01-01,96929.0
1984-04-01,93451.0
1984-07-01,101709.0
1984-10-01,101392.0
1985-01-01,110601.0
1985-04-01,117485.0
1985-07-01,111225.0
1985-10-01,128566.0
1986-01-01,145590.0
1986-04-01,152230.0
1986-07-01,141096.0
1986-10-01,146531.0
1987-01-01,175408.0
1987-04-01,180885.0
1987-07-01,190581.0
1987-10-01,146161.0
1988-01-01,155011.0
1988-04-01,163332.0
1988-07-01,162381.0
1988-10-01,165225.0
1989-01-01,175133.0
1989-04-01,188107.0
1989-07-01,205099.0
1989-10-01,206230.0
1990-01-01,197570.0
1990-04-01,206695.0
1990-07-01,177480.0
1990-10-01,190845.0
1991-01-01,217079.0
1991-04-01,215144.0
1991-07-01,225580.0
1991-10-01,242604.0
1992-01-01,236059.0
1992-04-01,237200.0
1992-07-01,242625.0
1992-10-01,253992.0
1993-01-01,263730.0
1993-04-01,263392.0
1993-07-01,269873.0
1993-10-01,273944.0
1994-01-01,261235.0
1994-04-01,259226.0
1994-07-01,270180.0
1994-10-01,265337.0
1995-01-01,286590.0
1995-04-01,308584.0
1995-07-01,331233.0
1995-10-01,348415.0
1996-01-01,366824.0
1996-04-01,379808.0
1996-07-01,388405.0
1996-10-01,414807.0
1997-01-01,421416.0
1997-04-01,488972.0
1997-07-01,525758.0
1997-10-01,540519.0
1998-01-01,605642.0
1998-04-01,611933.0
1998-07-01,533413.0
1998-10-01,629993.0
1999-01-01,638220.0
1999-04-01,685315.0
1999-07-01,626800.0
1999-10-01,687610.0
2000-01-01,684861.0
2000-04-01,679817.0
2000-07-01,701081.0
2000-10-01,694557.0
2001-01-01,629835.0
2001-04-01,657432.0
2001-07-01,575042.0
2001-10-01,623639.0
2002-01-01,634879.0
2002-04-01,563654.0
2002-07-01,470996.0
2002-10-01,500000.0
2003-01-01,473021.0
2003-04-01,550517.0
2003-07-01,564403.0
2003-10-01,644030.0
2004-01-01,659906.0
2004-04-01,660299.0
2004-07-01,657025.0
2004-10-01,725006.0
2005-01-01,716753.0
2005-04-01,721778.0
2005-07-01,763298.0
2005-10-01,775395.0
2006-01-01,823320.0
2006-04-01,816907.0
2006-07-01,846965.0
2006-10-01,913902.0
2007-01-01,926182.0
2007-04-01,987302.0
2007-07-01,1003928.0
2007-10-01,974032.0
2008-01-01,879729.0
2008-04-01,866048.0
2008-07-01,753280.0
2008-10-01,575705.0
2009-01-01,497898.0
2009-04-01,590515.0
2009-07-01,691088.0
2009-10-01,718496.0
2010-01-01,744780.0
2010-04-01,646965.0
2010-07-01,728107.0
2010-10-01,796402.0
2011-01-01,840498.0
2011-04-01,831910.0
2011-07-01,679165.0
2011-10-01,747703.0
2012-01-01,820693.0
2012-04-01,780184.0
2012-07-01,825100.0
2012-10-01,844351.0
2013-01-01,910705.0
2013-04-01,911270.0
2013-07-01,962125.0
2013-10-01,1040033.0
2014-01-01,1052777.0
2014-04-01,1097942.0
2014-07-01,1070293.0
2014-10-01,1083924.0
2015-01-01,1089919.0
2015-04-01,1080520.0
2015-07-01,979969.0
2015-10-01,1014342.0
2016-01-01,1020738.0
2016-04-01,1048976.0
2016-07-01,1072174.0
2016-10-01,1105690.0
2017-01-01,1149285.0
2017-04-01,1176170.0
2017-07-01,1220916.0
2017-10-01,1280884.0
2018-01-01,1245206.0
2018-04-01,1250425.0
2018-07-01,1308252.0
2018-10-01,1137439.0
2019-01-01,1269688.0
2019-04-01,1304971.0
2019-07-01,1300474.0
2019-10-01,1391303.0
2020-01-01,1030187.0
2020-04-01,1189378.0
2020-07-01,1270188.0
2020-10-01,1452480.0
2021-01-01,1560174.0
2021-04-01,1655535.0
2021-07-01,1614492.0
2021-10-01,1716413.0
2022-01-01,1667091.0
2022-04-01,1448764.0
2022-07-01,1347218.0
2022-10-01,1518431.0
2023-01-01,1537491.0
2023-04-01,1587591.0
2023-07-01,1539821.0
2023-10-01,1685289.0
2024-01-01,1831267.0
2024-04-01,1802650.0
2024-07-01,1951644.0
2024-10-01,1909711.0
2025-01-01,1939586.0
2025-04-01,2042955.0
2025-07-01,2156454.0
2025-10-01,2200393.0
