,FYFRGDA188S
1929-01-01,3.69371
1930-01-01,4.40321
1931-01-01,4.02631
1932-01-01,3.23242
1933-01-01,3.49407
1934-01-01,4.42365
1935-01-01,4.8612
1936-01-01,4.62454
1937-01-01,5.79229
1938-01-01,7.7285
1939-01-01,6.73716
1940-01-01,6.36352
1941-01-01,6.73735
1942-01-01,8.81821
1943-01-01,11.81826
1944-01-01,19.49102
1945-01-01,19.80597
1946-01-01,17.27031
1947-01-01,15.4293
1948-01-01,15.14202
1949-01-01,14.46555
1950-01-01,13.15525
1951-01-01,14.87862
1952-01-01,18.01242
1953-01-01,17.88406
1954-01-01,17.84693
1955-01-01,15.38293
1956-01-01,16.59875
1957-01-01,16.87414
1958-01-01,16.54846
1959-01-01,15.19187
1960-01-01,17.05293
1961-01-01,16.78877
1962-01-01,16.50478
1963-01-01,16.71661
1964-01-01,16.45282
1965-01-01,15.7374
1966-01-01,16.08468
1967-01-01,17.30571
1968-01-01,16.26246
1969-01-01,18.36471
1970-01-01,17.96389
1971-01-01,16.0655
1972-01-01,16.20728
1973-01-01,16.19215
1974-01-01,17.03447
1975-01-01,16.56415
1976-01-01,15.91001
1977-01-01,17.07919
1978-01-01,16.99103
1979-01-01,17.63393
1980-01-01,18.09788
1981-01-01,18.68613
1982-01-01,18.47503
1983-01-01,16.52602
1984-01-01,16.50574
1985-01-01,16.91727
1986-01-01,16.79513
1987-01-01,17.59525
1988-01-01,17.36367
1989-01-01,17.56784
1990-01-01,17.3056
1991-01-01,17.13163
1992-01-01,16.73548
1993-01-01,16.83056
1994-01-01,17.27083
1995-01-01,17.69417
1996-01-01,17.99865
1997-01-01,18.41122
1998-01-01,18.99771
1999-01-01,18.97435
2000-01-01,19.75613
2001-01-01,18.81587
2002-01-01,16.95597
2003-01-01,15.5573
2004-01-01,15.38908
2005-01-01,16.51644
2006-01-01,17.42141
2007-01-01,17.74178
2008-01-01,17.08879
2009-01-01,14.53916
2010-01-01,14.37112
2011-01-01,14.76606
2012-01-01,15.07318
2013-01-01,16.43954
2014-01-01,17.15963
2015-01-01,17.7638
2016-01-01,17.37825
2017-01-01,16.90887
2018-01-01,16.12037
2019-01-01,16.07877
2020-01-01,16.00524
2021-01-01,17.05796
2022-01-01,18.79644
2023-01-01,15.96802
2024-01-01,16.79255
2025-01-01,17.02231
