,LNS12032194
1955-05-01,2063.0
1955-06-01,1982.0
1955-07-01,2123.0
1955-08-01,2203.0
1955-09-01,2133.0
1955-10-01,2093.0
1955-11-01,2199.0
1955-12-01,2149.0
1956-01-01,2149.0
1956-02-01,2087.0
1956-03-01,1980.0
1956-04-01,2051.0
1956-05-01,2194.0
1956-06-01,2331.0
1956-07-01,2287.0
1956-08-01,2353.0
1956-09-01,2399.0
1956-10-01,2417.0
1956-11-01,2414.0
1956-12-01,2306.0
1957-01-01,2283.0
1957-02-01,2426.0
1957-03-01,2435.0
1957-04-01,2283.0
1957-05-01,2377.0
1957-06-01,2476.0
1957-07-01,2449.0
1957-08-01,2440.0
1957-09-01,2484.0
1957-10-01,2641.0
1957-11-01,2643.0
1957-12-01,2712.0
1958-01-01,3291.0
1958-02-01,3437.0
1958-03-01,3972.0
1958-04-01,3743.0
1958-05-01,3602.0
1958-06-01,3340.0
1958-07-01,2955.0
1958-08-01,3178.0
1958-09-01,3166.0
1958-10-01,2969.0
1958-11-01,2805.0
1958-12-01,2825.0
1959-01-01,2749.0
1959-02-01,2515.0
1959-03-01,2846.0
1959-04-01,2592.0
1959-05-01,2353.0
1959-06-01,2543.0
1959-07-01,2668.0
1959-08-01,2599.0
1959-09-01,2507.0
1959-10-01,2730.0
1959-11-01,2799.0
1959-12-01,2734.0
1960-01-01,2507.0
1960-02-01,2565.0
1960-03-01,2405.0
1960-04-01,2769.0
1960-05-01,2733.0
1960-06-01,2904.0
1960-07-01,2830.0
1960-08-01,2933.0
1960-09-01,3071.0
1960-10-01,3069.0
1960-11-01,3119.0
1960-12-01,3305.0
1961-01-01,3428.0
1961-02-01,3561.0
1961-03-01,3325.0
1961-04-01,3295.0
1961-05-01,3269.0
1961-06-01,3151.0
1961-07-01,3035.0
1961-08-01,3152.0
1961-09-01,2976.0
1961-10-01,2913.0
1961-11-01,2875.0
1961-12-01,2645.0
1962-01-01,2392.0
1962-02-01,2631.0
1962-03-01,2783.0
1962-04-01,2596.0
1962-05-01,2756.0
1962-06-01,2683.0
1962-07-01,2759.0
1962-08-01,2626.0
1962-09-01,2675.0
1962-10-01,2704.0
1962-11-01,2714.0
1962-12-01,2575.0
1963-01-01,2613.0
1963-02-01,2560.0
1963-03-01,2645.0
1963-04-01,2644.0
1963-05-01,2571.0
1963-06-01,2627.0
