,LNU02032185
1948-01-01,4416.0
1948-02-01,4573.0
1948-03-01,4549.0
1948-04-01,4632.0
1948-05-01,4695.0
1948-06-01,4810.0
1948-07-01,4750.0
1948-08-01,4769.0
1948-09-01,4742.0
1948-10-01,4802.0
1948-11-01,4634.0
1948-12-01,4602.0
1949-01-01,4498.0
1949-02-01,4447.0
1949-03-01,4551.0
1949-04-01,4763.0
1949-05-01,4887.0
1949-06-01,4932.0
1949-07-01,4993.0
1949-08-01,4665.0
1949-09-01,4509.0
1949-10-01,4425.0
1949-11-01,4335.0
1949-12-01,4303.0
1950-01-01,4207.0
1950-02-01,4203.0
1950-03-01,4468.0
1950-04-01,4562.0
1950-05-01,4639.0
1950-06-01,4656.0
1950-07-01,4543.0
1950-08-01,4402.0
1950-09-01,4358.0
1950-10-01,4143.0
1950-11-01,3971.0
1950-12-01,3928.0
1951-01-01,3758.0
1951-02-01,3874.0
1951-03-01,4066.0
1951-04-01,4114.0
1951-05-01,4214.0
1951-06-01,4319.0
1951-07-01,4180.0
1951-08-01,4072.0
1951-09-01,3890.0
1951-10-01,3954.0
1951-11-01,3916.0
1951-12-01,3843.0
1952-01-01,3786.0
1952-02-01,3881.0
1952-03-01,3877.0
1952-04-01,4050.0
1952-05-01,4026.0
1952-06-01,4150.0
1952-07-01,4090.0
1952-08-01,3958.0
1952-09-01,3896.0
1952-10-01,3964.0
1952-11-01,3830.0
1952-12-01,3692.0
1953-01-01,3735.0
1953-02-01,3686.0
1953-03-01,3720.0
1953-04-01,3863.0
1953-05-01,3929.0
1953-06-01,4122.0
1953-07-01,4108.0
1953-08-01,4006.0
1953-09-01,3816.0
1953-10-01,3783.0
1953-11-01,3659.0
1953-12-01,3365.0
1954-01-01,3427.0
1954-02-01,3731.0
1954-03-01,3809.0
1954-04-01,3902.0
1954-05-01,4041.0
1954-06-01,4084.0
1954-07-01,4055.0
1954-08-01,3824.0
1954-09-01,3918.0
1954-10-01,3930.0
1954-11-01,3601.0
1954-12-01,3484.0
1955-01-01,3548.0
1955-02-01,3400.0
1955-03-01,3628.0
1955-04-01,3754.0
1955-05-01,3926.0
1955-06-01,3972.0
1955-07-01,3915.0
1955-08-01,3793.0
1955-09-01,3808.0
1955-10-01,3768.0
1955-11-01,3712.0
1955-12-01,3489.0
1956-01-01,3504.0
1956-02-01,3452.0
1956-03-01,3534.0
1956-04-01,3799.0
1956-05-01,3814.0
1956-06-01,3790.0
1956-07-01,3685.0
1956-08-01,3514.0
1956-09-01,3607.0
1956-10-01,3470.0
1956-11-01,3397.0
1956-12-01,3186.0
1957-01-01,3116.0
1957-02-01,3239.0
1957-03-01,3254.0
1957-04-01,3380.0
1957-05-01,3461.0
1957-06-01,3441.0
1957-07-01,3542.0
1957-08-01,3319.0
1957-09-01,3278.0
1957-10-01,3316.0
1957-11-01,3175.0
1957-12-01,3085.0
1958-01-01,3046.0
1958-02-01,3060.0
1958-03-01,3047.0
1958-04-01,3160.0
1958-05-01,3213.0
1958-06-01,3213.0
1958-07-01,3250.0
1958-08-01,3103.0
1958-09-01,3019.0
1958-10-01,3055.0
1958-11-01,2980.0
1958-12-01,2834.0
1959-01-01,2827.0
1959-02-01,2914.0
1959-03-01,2987.0
1959-04-01,3155.0
1959-05-01,3234.0
1959-06-01,3278.0
1959-07-01,3128.0
1959-08-01,3034.0
1959-09-01,2982.0
1959-10-01,2991.0
1959-11-01,2963.0
1959-12-01,2747.0
1960-01-01,2724.0
1960-02-01,2730.0
1960-03-01,2750.0
1960-04-01,2862.0
1960-05-01,2850.0
1960-06-01,2919.0
1960-07-01,2950.0
1960-08-01,2781.0
1960-09-01,2752.0
1960-10-01,2749.0
1960-11-01,2748.0
1960-12-01,2730.0
1961-01-01,2604.0
1961-02-01,2719.0
1961-03-01,2774.0
1961-04-01,2734.0
1961-05-01,2822.0
1961-06-01,2887.0
1961-07-01,2834.0
1961-08-01,2768.0
1961-09-01,2702.0
1961-10-01,2705.0
1961-11-01,2664.0
1961-12-01,2636.0
1962-01-01,2669.0
1962-02-01,2615.0
1962-03-01,2688.0
1962-04-01,2751.0
1962-05-01,2784.0
1962-06-01,2714.0
1962-07-01,2636.0
1962-08-01,2550.0
1962-09-01,2537.0
1962-10-01,2521.0
1962-11-01,2499.0
1962-12-01,2349.0
1963-01-01,2303.0
1963-02-01,2332.0
1963-03-01,2358.0
1963-04-01,2444.0
1963-05-01,2577.0
1963-06-01,2627.0
1963-07-01,2573.0
1963-08-01,2428.0
1963-09-01,2428.0
1963-10-01,2444.0
1963-11-01,2354.0
1963-12-01,2251.0
1964-01-01,2253.0
1964-02-01,2206.0
1964-03-01,2241.0
1964-04-01,2333.0
1964-05-01,2460.0
1964-06-01,2557.0
1964-07-01,2551.0
1964-08-01,2481.0
1964-09-01,2430.0
1964-10-01,2353.0
1964-11-01,2259.0
1964-12-01,2160.0
1965-01-01,2130.0
1965-02-01,2192.0
1965-03-01,2254.0
1965-04-01,2398.0
1965-05-01,2532.0
1965-06-01,2520.0
1965-07-01,2479.0
1965-08-01,2374.0
1965-09-01,2291.0
1965-10-01,2239.0
1965-11-01,2128.0
1965-12-01,2024.0
1966-01-01,2030.0
1966-02-01,2089.0
1966-03-01,2116.0
1966-04-01,2218.0
1966-05-01,2233.0
1966-06-01,2234.0
1966-07-01,2177.0
1966-08-01,2128.0
1966-09-01,2225.0
1966-10-01,2174.0
1966-11-01,2053.0
1966-12-01,1951.0
1967-01-01,1900.0
1967-02-01,1912.0
1967-03-01,1875.0
1967-04-01,1970.0
1967-05-01,1966.0
1967-06-01,2063.0
1967-07-01,2106.0
1967-08-01,2076.0
1967-09-01,2084.0
1967-10-01,2068.0
1967-11-01,1973.0
1967-12-01,1953.0
1968-01-01,1901.0
1968-02-01,1885.0
1968-03-01,1933.0
1968-04-01,2025.0
1968-05-01,2052.0
1968-06-01,2148.0
1968-07-01,2122.0
1968-08-01,2027.0
1968-09-01,1967.0
1968-10-01,1965.0
1968-11-01,1933.0
1968-12-01,1867.0
1969-01-01,1843.0
1969-02-01,1833.0
1969-03-01,1834.0
1969-04-01,1955.0
1969-05-01,1963.0
1969-06-01,2056.0
1969-07-01,2005.0
1969-08-01,1981.0
1969-09-01,1921.0
1969-10-01,1865.0
1969-11-01,1782.0
1969-12-01,1716.0
1970-01-01,1708.0
1970-02-01,1734.0
1970-03-01,1798.0
1970-04-01,1873.0
