quarter,d1_wage_productivity,d2_consumer_balance,d3_fiscal_sustainability,d4_labour_market,d5_trade_architecture,d6_monetary_constraint,CFI_raw,CFI_normalised,delta_vs_baseline,assessment
0,0.8012,0.2111,0.9469,0.2942,0.2736,0.5012,13.1158,0.131,0.0,ELEVATED — above COVID level (0.125)
1,0.8136,0.2406,0.9562,0.3492,0.2761,0.5137,14.4822,0.1457,0.0148,ELEVATED — above COVID level (0.125)
2,0.8261,0.2701,0.9654,0.4042,0.2786,0.5262,15.9417,0.1615,0.0305,SEVERE — at or above GFC level
3,0.8386,0.2996,0.9747,0.4592,0.2811,0.5387,17.4981,0.1783,0.0474,SEVERE — at or above GFC level
4,0.8511,0.3291,0.9839,0.5142,0.2836,0.5512,19.1555,0.1963,0.0653,CRITICAL — exceeds GFC peak (0.175)
5,0.8611,0.3544,0.9929,0.5142,0.2861,0.5512,19.8103,0.2033,0.0724,CRITICAL — exceeds GFC peak (0.175)
6,0.8711,0.3797,1.0,0.5142,0.2886,0.5512,20.4565,0.2103,0.0794,CRITICAL — exceeds GFC peak (0.175)
7,0.8811,0.38,1.0,0.5142,0.2911,0.5512,20.6109,0.212,0.081,CRITICAL — exceeds GFC peak (0.175)
8,0.8911,0.3803,1.0,0.5142,0.2936,0.5512,20.7657,0.2137,0.0827,CRITICAL — exceeds GFC peak (0.175)
9,0.8911,0.3803,1.0,0.5142,0.2936,0.5512,20.7657,0.2137,0.0827,CRITICAL — exceeds GFC peak (0.175)
10,0.8911,0.3803,1.0,0.5142,0.2936,0.5512,20.7657,0.2137,0.0827,CRITICAL — exceeds GFC peak (0.175)
11,0.8911,0.3803,1.0,0.5142,0.2936,0.5512,20.7657,0.2137,0.0827,CRITICAL — exceeds GFC peak (0.175)
12,0.8911,0.3803,1.0,0.5142,0.2936,0.5512,20.7657,0.2137,0.0827,CRITICAL — exceeds GFC peak (0.175)
