quarter,d1_wage_productivity,d2_consumer_balance,d3_fiscal_sustainability,d4_labour_market,d5_trade_architecture,d6_monetary_constraint,CFI_raw,CFI_normalised,delta_vs_baseline,assessment
0,0.8012,0.2111,0.9469,0.2942,0.2736,0.5012,13.1158,0.131,0.0,ELEVATED — above COVID level (0.125)
1,0.8042,0.227,0.9889,0.3104,0.2756,0.5448,14.3338,0.1441,0.0132,ELEVATED — above COVID level (0.125)
2,0.8072,0.2427,0.9907,0.3255,0.2776,0.5848,15.2502,0.154,0.0231,SEVERE — at or above GFC level
3,0.8102,0.2585,0.9925,0.3405,0.2796,0.6248,16.2046,0.1644,0.0334,SEVERE — at or above GFC level
4,0.8132,0.2718,0.9925,0.3555,0.2816,0.6248,16.6656,0.1693,0.0384,SEVERE — at or above GFC level
5,0.8162,0.2851,0.9925,0.3555,0.2836,0.6248,16.921,0.1721,0.0411,SEVERE — at or above GFC level
6,0.8192,0.2985,0.9925,0.3555,0.2856,0.6248,17.1777,0.1749,0.0439,SEVERE — at or above GFC level
7,0.8222,0.2985,0.9925,0.3555,0.2876,0.6248,17.2328,0.1755,0.0445,SEVERE — at or above GFC level
8,0.8252,0.2985,0.9925,0.3555,0.2896,0.6248,17.288,0.1761,0.0451,SEVERE — at or above GFC level
9,0.8282,0.2985,0.9925,0.3555,0.2916,0.6248,17.3432,0.1767,0.0457,SEVERE — at or above GFC level
10,0.8312,0.2985,0.9925,0.3555,0.2936,0.6248,17.3986,0.1773,0.0463,SEVERE — at or above GFC level
11,0.8312,0.2985,0.9925,0.3555,0.2936,0.6248,17.3986,0.1773,0.0463,SEVERE — at or above GFC level
12,0.8312,0.2985,0.9925,0.3555,0.2936,0.6248,17.3986,0.1773,0.0463,SEVERE — at or above GFC level
13,0.8312,0.2985,0.9925,0.3555,0.2936,0.6248,17.3986,0.1773,0.0463,SEVERE — at or above GFC level
14,0.8312,0.2985,0.9925,0.3555,0.2936,0.6248,17.3986,0.1773,0.0463,SEVERE — at or above GFC level
15,0.8312,0.2985,0.9925,0.3555,0.2936,0.6248,17.3986,0.1773,0.0463,SEVERE — at or above GFC level
16,0.8312,0.2985,0.9925,0.3555,0.2936,0.6248,17.3986,0.1773,0.0463,SEVERE — at or above GFC level
